"state","period_start","period_end","duration"
"Intermediate","2021-03-18 10:57:44+01","2021-03-18 10:57:46+01","00:00:02"
"Active","2021-03-18 10:57:46+01","2021-03-18 10:57:49+01","00:00:03"
"Intermediate","2021-03-18 10:57:49+01","2021-03-18 10:57:50+01","00:00:01"
"Active","2021-03-18 10:57:50+01","2021-03-18 10:57:52+01","00:00:02"
"Intermediate","2021-03-18 10:57:52+01","2021-03-18 10:57:54+01","00:00:02"
"Active","2021-03-18 10:57:54+01","2021-03-18 10:57:57+01","00:00:03"
"Intermediate","2021-03-18 10:57:57+01","2021-03-18 10:57:58+01","00:00:01"
"Active","2021-03-18 10:57:58+01","2021-03-18 10:57:59+01","00:00:01"
"Intermediate","2021-03-18 10:57:59+01","2021-03-18 10:58:00+01","00:00:01"
"Active","2021-03-18 10:58:00+01","2021-03-18 10:58:01+01","00:00:01"
"Intermediate","2021-03-18 10:58:01+01","2021-03-18 10:58:04+01","00:00:03"
"Active","2021-03-18 10:58:04+01","2021-03-18 10:58:06+01","00:00:02"
"Intermediate","2021-03-18 10:58:06+01","2021-03-18 10:58:07+01","00:00:01"
"Active","2021-03-18 10:58:07+01","2021-03-18 10:58:08+01","00:00:01"
"Intermediate","2021-03-18 10:58:08+01","2021-03-18 10:58:09+01","00:00:01"
"Active","2021-03-18 10:58:09+01","2021-03-18 10:58:11+01","00:00:02"
"Intermediate","2021-03-18 10:58:11+01","2021-03-18 10:58:12+01","00:00:01"
"Active","2021-03-18 10:58:12+01","2021-03-18 10:58:13+01","00:00:01"
"Intermediate","2021-03-18 10:58:13+01","2021-03-18 10:58:15+01","00:00:02"
"Active","2021-03-18 10:58:15+01","2021-03-18 10:58:21+01","00:00:06"
"Intermediate","2021-03-18 10:58:21+01","2021-03-18 10:58:23+01","00:00:02"
"Active","2021-03-18 10:58:23+01","2021-03-18 10:58:27+01","00:00:04"
"Intermediate","2021-03-18 10:58:27+01","2021-03-18 10:58:28+01","00:00:01"
"Active","2021-03-18 10:58:28+01","2021-03-18 10:58:42+01","00:00:14"
"Intermediate","2021-03-18 10:58:42+01","2021-03-18 10:58:44+01","00:00:02"
"Active","2021-03-18 10:58:44+01","2021-03-18 10:58:46+01","00:00:02"
"Intermediate","2021-03-18 10:58:46+01","2021-03-18 10:58:47+01","00:00:01"
"Active","2021-03-18 10:58:47+01","2021-03-18 10:58:55+01","00:00:08"
"Intermediate","2021-03-18 10:58:55+01","2021-03-18 10:58:56+01","00:00:01"
"Active","2021-03-18 10:58:56+01","2021-03-18 10:59:01+01","00:00:05"
"Intermediate","2021-03-18 10:59:01+01","2021-03-18 10:59:02+01","00:00:01"
"Active","2021-03-18 10:59:02+01","2021-03-18 10:59:03+01","00:00:01"
"Intermediate","2021-03-18 10:59:03+01","2021-03-18 10:59:05+01","00:00:02"
"Active","2021-03-18 10:59:05+01","2021-03-18 10:59:11+01","00:00:06"
"Intermediate","2021-03-18 10:59:11+01","2021-03-18 10:59:12+01","00:00:01"
"Active","2021-03-18 10:59:12+01","2021-03-18 10:59:16+01","00:00:04"
"Intermediate","2021-03-18 10:59:16+01","2021-03-18 10:59:18+01","00:00:02"
"Active","2021-03-18 10:59:18+01","2021-03-18 10:59:21+01","00:00:03"
"Intermediate","2021-03-18 10:59:21+01","2021-03-18 10:59:22+01","00:00:01"
"Active","2021-03-18 10:59:22+01","2021-03-18 10:59:24+01","00:00:02"
"Intermediate","2021-03-18 10:59:24+01","2021-03-18 10:59:25+01","00:00:01"
"Active","2021-03-18 10:59:25+01","2021-03-18 10:59:37+01","00:00:12"
"Intermediate","2021-03-18 10:59:37+01","2021-03-18 10:59:39+01","00:00:02"
"Active","2021-03-18 10:59:39+01","2021-03-18 10:59:41+01","00:00:02"
"Intermediate","2021-03-18 10:59:41+01","2021-03-18 10:59:43+01","00:00:02"
"Active","2021-03-18 10:59:43+01","2021-03-18 10:59:47+01","00:00:04"
"Intermediate","2021-03-18 10:59:47+01","2021-03-18 10:59:49+01","00:00:02"
"Active","2021-03-18 10:59:49+01","2021-03-18 10:59:50+01","00:00:01"
"Intermediate","2021-03-18 10:59:50+01","2021-03-18 10:59:59+01","00:00:09"
"Active","2021-03-18 10:59:59+01","2021-03-18 11:00:02+01","00:00:03"
"Intermediate","2021-03-18 11:00:02+01","2021-03-18 11:00:03+01","00:00:01"
"Active","2021-03-18 11:00:03+01","2021-03-18 11:00:05+01","00:00:02"
"Intermediate","2021-03-18 11:00:05+01","2021-03-18 11:00:06+01","00:00:01"
"Active","2021-03-18 11:00:06+01","2021-03-18 11:00:08+01","00:00:02"
"Intermediate","2021-03-18 11:00:08+01","2021-03-18 11:00:10+01","00:00:02"
"Active","2021-03-18 11:00:10+01","2021-03-18 11:00:13+01","00:00:03"
"Intermediate","2021-03-18 11:00:13+01","2021-03-18 11:00:15+01","00:00:02"
"Active","2021-03-18 11:00:15+01","2021-03-18 11:00:16+01","00:00:01"
"Intermediate","2021-03-18 11:00:16+01","2021-03-18 11:00:19+01","00:00:03"
"Active","2021-03-18 11:00:19+01","2021-03-18 11:00:25+01","00:00:06"
"Intermediate","2021-03-18 11:00:25+01","2021-03-18 11:00:26+01","00:00:01"
"Active","2021-03-18 11:00:26+01","2021-03-18 11:00:28+01","00:00:02"
"Intermediate","2021-03-18 11:00:28+01","2021-03-18 11:00:29+01","00:00:01"
"Active","2021-03-18 11:00:29+01","2021-03-18 11:00:32+01","00:00:03"
"Intermediate","2021-03-18 11:00:32+01","2021-03-18 11:00:33+01","00:00:01"
"Active","2021-03-18 11:00:33+01","2021-03-18 11:00:35+01","00:00:02"
"Intermediate","2021-03-18 11:00:35+01","2021-03-18 11:00:36+01","00:00:01"
"Active","2021-03-18 11:00:36+01","2021-03-18 11:00:38+01","00:00:02"
"Intermediate","2021-03-18 11:00:38+01","2021-03-18 11:00:44+01","00:00:06"
"Active","2021-03-18 11:00:44+01","2021-03-18 11:00:47+01","00:00:03"
"Intermediate","2021-03-18 11:00:47+01","2021-03-18 11:00:48+01","00:00:01"
"Active","2021-03-18 11:00:48+01","2021-03-18 11:00:52+01","00:00:04"
"Intermediate","2021-03-18 11:00:52+01","2021-03-18 11:00:53+01","00:00:01"
"Active","2021-03-18 11:00:53+01","2021-03-18 11:00:54+01","00:00:01"
"Intermediate","2021-03-18 11:00:54+01","2021-03-18 11:00:55+01","00:00:01"
"Active","2021-03-18 11:00:55+01","2021-03-18 11:00:58+01","00:00:03"
"Intermediate","2021-03-18 11:00:58+01","2021-03-18 11:01:00+01","00:00:02"
"Active","2021-03-18 11:01:00+01","2021-03-18 11:01:01+01","00:00:01"
"Intermediate","2021-03-18 11:01:01+01","2021-03-18 11:01:03+01","00:00:02"
"Active","2021-03-18 11:01:03+01","2021-03-18 11:01:04+01","00:00:01"
"Intermediate","2021-03-18 11:01:04+01","2021-03-18 11:01:14+01","00:00:10"
"Active","2021-03-18 11:01:14+01","2021-03-18 11:01:17+01","00:00:03"
"Intermediate","2021-03-18 11:01:17+01","2021-03-18 11:01:18+01","00:00:01"
"Active","2021-03-18 11:01:18+01","2021-03-18 11:01:19+01","00:00:01"
"Intermediate","2021-03-18 11:01:19+01","2021-03-18 11:01:20+01","00:00:01"
"Active","2021-03-18 11:01:20+01","2021-03-18 11:01:21+01","00:00:01"
"Intermediate","2021-03-18 11:01:21+01","2021-03-18 11:01:22+01","00:00:01"
"Active","2021-03-18 11:01:22+01","2021-03-18 11:01:23+01","00:00:01"
"Intermediate","2021-03-18 11:01:23+01","2021-03-18 11:01:26+01","00:00:03"
"Active","2021-03-18 11:01:26+01","2021-03-18 11:01:27+01","00:00:01"
"Intermediate","2021-03-18 11:01:27+01","2021-03-18 11:01:32+01","00:00:05"
"Active","2021-03-18 11:01:32+01","2021-03-18 11:01:33+01","00:00:01"
"Intermediate","2021-03-18 11:01:33+01","2021-03-18 11:01:38+01","00:00:05"
"Active","2021-03-18 11:01:38+01","2021-03-18 11:01:39+01","00:00:01"
"Intermediate","2021-03-18 11:01:39+01","2021-03-18 11:01:40+01","00:00:01"
"Active","2021-03-18 11:01:40+01","2021-03-18 11:01:41+01","00:00:01"
"Intermediate","2021-03-18 11:01:41+01","2021-03-18 11:01:42+01","00:00:01"
"Active","2021-03-18 11:01:42+01","2021-03-18 11:01:44+01","00:00:02"
"Intermediate","2021-03-18 11:01:44+01","2021-03-18 11:01:50+01","00:00:06"
"Active","2021-03-18 11:01:50+01","2021-03-18 11:01:51+01","00:00:01"
"Intermediate","2021-03-18 11:01:51+01","2021-03-18 11:01:53+01","00:00:02"
"Active","2021-03-18 11:01:53+01","2021-03-18 11:01:54+01","00:00:01"
"Intermediate","2021-03-18 11:01:54+01","2021-03-18 11:01:55+01","00:00:01"
"Active","2021-03-18 11:01:55+01","2021-03-18 11:01:56+01","00:00:01"
"Intermediate","2021-03-18 11:01:56+01","2021-03-18 11:01:59+01","00:00:03"
"Active","2021-03-18 11:01:59+01","2021-03-18 11:02:01+01","00:00:02"
"Intermediate","2021-03-18 11:02:01+01","2021-03-18 11:02:03+01","00:00:02"
"Active","2021-03-18 11:02:03+01","2021-03-18 11:02:05+01","00:00:02"
"Intermediate","2021-03-18 11:02:05+01","2021-03-18 11:02:16+01","00:00:11"
"Active","2021-03-18 11:02:16+01","2021-03-18 11:02:18+01","00:00:02"
"Intermediate","2021-03-18 11:02:18+01","2021-03-18 11:02:20+01","00:00:02"
"Active","2021-03-18 11:02:20+01","2021-03-18 11:02:22+01","00:00:02"
"Intermediate","2021-03-18 11:02:22+01","2021-03-18 11:02:26+01","00:00:04"
"Active","2021-03-18 11:02:26+01","2021-03-18 11:02:28+01","00:00:02"
"Intermediate","2021-03-18 11:02:28+01","2021-03-18 11:02:30+01","00:00:02"
"Active","2021-03-18 11:02:30+01","2021-03-18 11:02:31+01","00:00:01"
"Intermediate","2021-03-18 11:02:31+01","2021-03-18 11:02:34+01","00:00:03"
"Active","2021-03-18 11:02:34+01","2021-03-18 11:02:40+01","00:00:06"
"Intermediate","2021-03-18 11:02:40+01","2021-03-18 11:02:42+01","00:00:02"
"Active","2021-03-18 11:02:42+01","2021-03-18 11:02:43+01","00:00:01"
"Intermediate","2021-03-18 11:02:43+01","2021-03-18 11:02:45+01","00:00:02"
"Active","2021-03-18 11:02:45+01","2021-03-18 11:02:47+01","00:00:02"
"Intermediate","2021-03-18 11:02:47+01","2021-03-18 11:02:49+01","00:00:02"
"Active","2021-03-18 11:02:49+01","2021-03-18 11:02:50+01","00:00:01"
"Intermediate","2021-03-18 11:02:50+01","2021-03-18 11:02:54+01","00:00:04"
"Active","2021-03-18 11:02:54+01","2021-03-18 11:02:56+01","00:00:02"
"Intermediate","2021-03-18 11:02:56+01","2021-03-18 11:02:57+01","00:00:01"
"Active","2021-03-18 11:02:57+01","2021-03-18 11:02:58+01","00:00:01"
"Intermediate","2021-03-18 11:02:58+01","2021-03-18 11:02:59+01","00:00:01"
"Active","2021-03-18 11:02:59+01","2021-03-18 11:03:00+01","00:00:01"
"Intermediate","2021-03-18 11:03:00+01","2021-03-18 11:03:03+01","00:00:03"
"Active","2021-03-18 11:03:03+01","2021-03-18 11:03:04+01","00:00:01"
"Intermediate","2021-03-18 11:03:04+01","2021-03-18 11:03:06+01","00:00:02"
"Active","2021-03-18 11:03:06+01","2021-03-18 11:03:07+01","00:00:01"
"Intermediate","2021-03-18 11:03:07+01","2021-03-18 11:03:11+01","00:00:04"
"Active","2021-03-18 11:03:11+01","2021-03-18 11:03:14+01","00:00:03"
"Intermediate","2021-03-18 11:03:14+01","2021-03-18 11:03:20+01","00:00:06"
"Active","2021-03-18 11:03:20+01","2021-03-18 11:03:21+01","00:00:01"
"Intermediate","2021-03-18 11:03:21+01","2021-03-18 11:03:24+01","00:00:03"
"Active","2021-03-18 11:03:24+01","2021-03-18 11:03:25+01","00:00:01"
"Intermediate","2021-03-18 11:03:25+01","2021-03-18 11:03:31+01","00:00:06"
"Active","2021-03-18 11:03:31+01","2021-03-18 11:03:32+01","00:00:01"
"Intermediate","2021-03-18 11:03:32+01","2021-03-18 11:03:40+01","00:00:08"
"Active","2021-03-18 11:03:40+01","2021-03-18 11:03:41+01","00:00:01"
"Intermediate","2021-03-18 11:03:41+01","2021-03-18 11:03:45+01","00:00:04"
"Active","2021-03-18 11:03:45+01","2021-03-18 11:03:46+01","00:00:01"
"Intermediate","2021-03-18 11:03:46+01","2021-03-18 11:03:50+01","00:00:04"
"Active","2021-03-18 11:03:50+01","2021-03-18 11:03:52+01","00:00:02"
"Intermediate","2021-03-18 11:03:52+01","2021-03-18 11:03:53+01","00:00:01"
"Active","2021-03-18 11:03:53+01","2021-03-18 11:03:54+01","00:00:01"
"Intermediate","2021-03-18 11:03:54+01","2021-03-18 11:03:56+01","00:00:02"
"Active","2021-03-18 11:03:56+01","2021-03-18 11:04:03+01","00:00:07"
"Intermediate","2021-03-18 11:04:03+01","2021-03-18 11:04:05+01","00:00:02"
"Active","2021-03-18 11:04:05+01","2021-03-18 11:04:06+01","00:00:01"
"Intermediate","2021-03-18 11:04:06+01","2021-03-18 11:04:07+01","00:00:01"
"Active","2021-03-18 11:04:07+01","2021-03-18 11:04:09+01","00:00:02"
"Intermediate","2021-03-18 11:04:09+01","2021-03-18 11:04:12+01","00:00:03"
"Active","2021-03-18 11:04:12+01","2021-03-18 11:04:15+01","00:00:03"
"Intermediate","2021-03-18 11:04:15+01","2021-03-18 11:04:16+01","00:00:01"
"Active","2021-03-18 11:04:16+01","2021-03-18 11:04:20+01","00:00:04"
"Intermediate","2021-03-18 11:04:20+01","2021-03-18 11:04:21+01","00:00:01"
"Active","2021-03-18 11:04:21+01","2021-03-18 11:04:22+01","00:00:01"
"Intermediate","2021-03-18 11:04:22+01","2021-03-18 11:04:25+01","00:00:03"
"Active","2021-03-18 11:04:25+01","2021-03-18 11:04:28+01","00:00:03"
"Intermediate","2021-03-18 11:04:28+01","2021-03-18 11:04:30+01","00:00:02"
"Active","2021-03-18 11:04:30+01","2021-03-18 11:04:31+01","00:00:01"
"Intermediate","2021-03-18 11:04:31+01","2021-03-18 11:04:36+01","00:00:05"
"Active","2021-03-18 11:04:36+01","2021-03-18 11:04:37+01","00:00:01"
"Intermediate","2021-03-18 11:04:37+01","2021-03-18 11:04:38+01","00:00:01"
"Active","2021-03-18 11:04:38+01","2021-03-18 11:04:39+01","00:00:01"
"Intermediate","2021-03-18 11:04:39+01","2021-03-18 11:04:41+01","00:00:02"
"Active","2021-03-18 11:04:41+01","2021-03-18 11:04:42+01","00:00:01"
"Intermediate","2021-03-18 11:04:42+01","2021-03-18 11:04:47+01","00:00:05"
"Active","2021-03-18 11:04:47+01","2021-03-18 11:04:48+01","00:00:01"
"Intermediate","2021-03-18 11:04:48+01","2021-03-18 11:04:49+01","00:00:01"
"Active","2021-03-18 11:04:49+01","2021-03-18 11:04:50+01","00:00:01"
"Intermediate","2021-03-18 11:04:50+01","2021-03-18 11:04:52+01","00:00:02"
"Active","2021-03-18 11:04:52+01","2021-03-18 11:04:54+01","00:00:02"
"Intermediate","2021-03-18 11:04:54+01","2021-03-18 11:04:56+01","00:00:02"
"Active","2021-03-18 11:04:56+01","2021-03-18 11:04:58+01","00:00:02"
"Intermediate","2021-03-18 11:04:58+01","2021-03-18 11:05:04+01","00:00:06"
"Active","2021-03-18 11:05:04+01","2021-03-18 11:05:05+01","00:00:01"
"Intermediate","2021-03-18 11:05:05+01","2021-03-18 11:05:07+01","00:00:02"
"Active","2021-03-18 11:05:07+01","2021-03-18 11:05:08+01","00:00:01"
"Intermediate","2021-03-18 11:05:08+01","2021-03-18 11:05:10+01","00:00:02"
"Active","2021-03-18 11:05:10+01","2021-03-18 11:05:11+01","00:00:01"
"Intermediate","2021-03-18 11:05:11+01","2021-03-18 11:05:12+01","00:00:01"
"Active","2021-03-18 11:05:12+01","2021-03-18 11:05:13+01","00:00:01"
"Intermediate","2021-03-18 11:05:13+01","2021-03-18 11:05:14+01","00:00:01"
"Active","2021-03-18 11:05:14+01","2021-03-18 11:05:17+01","00:00:03"
"Intermediate","2021-03-18 11:05:17+01","2021-03-18 11:05:21+01","00:00:04"
"Active","2021-03-18 11:05:21+01","2021-03-18 11:05:23+01","00:00:02"
"Intermediate","2021-03-18 11:05:23+01","2021-03-18 11:05:24+01","00:00:01"
"Active","2021-03-18 11:05:24+01","2021-03-18 11:05:28+01","00:00:04"
"Intermediate","2021-03-18 11:05:28+01","2021-03-18 11:05:32+01","00:00:04"
"Active","2021-03-18 11:05:32+01","2021-03-18 11:05:34+01","00:00:02"
"Intermediate","2021-03-18 11:05:34+01","2021-03-18 11:05:36+01","00:00:02"
"Active","2021-03-18 11:05:36+01","2021-03-18 11:05:37+01","00:00:01"
"Intermediate","2021-03-18 11:05:37+01","2021-03-18 11:05:38+01","00:00:01"
"Active","2021-03-18 11:05:38+01","2021-03-18 11:05:40+01","00:00:02"
"Intermediate","2021-03-18 11:05:40+01","2021-03-18 11:05:41+01","00:00:01"
"Active","2021-03-18 11:05:41+01","2021-03-18 11:05:42+01","00:00:01"
"Intermediate","2021-03-18 11:05:42+01","2021-03-18 11:05:43+01","00:00:01"
"Active","2021-03-18 11:05:43+01","2021-03-18 11:05:48+01","00:00:05"
"Intermediate","2021-03-18 11:05:48+01","2021-03-18 11:05:53+01","00:00:05"
"Active","2021-03-18 11:05:53+01","2021-03-18 11:05:54+01","00:00:01"
"Intermediate","2021-03-18 11:05:54+01","2021-03-18 11:05:57+01","00:00:03"
"Active","2021-03-18 11:05:57+01","2021-03-18 11:05:58+01","00:00:01"
"Intermediate","2021-03-18 11:05:58+01","2021-03-18 11:06:03+01","00:00:05"
"Active","2021-03-18 11:06:03+01","2021-03-18 11:06:05+01","00:00:02"
"Intermediate","2021-03-18 11:06:05+01","2021-03-18 11:06:11+01","00:00:06"
"Active","2021-03-18 11:06:11+01","2021-03-18 11:06:14+01","00:00:03"
"Intermediate","2021-03-18 11:06:14+01","2021-03-18 11:06:15+01","00:00:01"
"Active","2021-03-18 11:06:15+01","2021-03-18 11:06:16+01","00:00:01"
"Intermediate","2021-03-18 11:06:16+01","2021-03-18 11:06:17+01","00:00:01"
"Active","2021-03-18 11:06:17+01","2021-03-18 11:06:19+01","00:00:02"
"Intermediate","2021-03-18 11:06:19+01","2021-03-18 11:06:20+01","00:00:01"
"Active","2021-03-18 11:06:20+01","2021-03-18 11:06:22+01","00:00:02"
"Intermediate","2021-03-18 11:06:22+01","2021-03-18 11:06:23+01","00:00:01"
"Active","2021-03-18 11:06:23+01","2021-03-18 11:06:24+01","00:00:01"
"Intermediate","2021-03-18 11:06:24+01","2021-03-18 11:06:25+01","00:00:01"
"Active","2021-03-18 11:06:25+01","2021-03-18 11:06:26+01","00:00:01"
"Intermediate","2021-03-18 11:06:26+01","2021-03-18 11:06:29+01","00:00:03"
"Active","2021-03-18 11:06:29+01","2021-03-18 11:06:30+01","00:00:01"
"Intermediate","2021-03-18 11:06:30+01","2021-03-18 11:06:32+01","00:00:02"
"Active","2021-03-18 11:06:32+01","2021-03-18 11:06:33+01","00:00:01"
"Intermediate","2021-03-18 11:06:33+01","2021-03-18 11:06:34+01","00:00:01"
"Active","2021-03-18 11:06:34+01","2021-03-18 11:06:36+01","00:00:02"
"Intermediate","2021-03-18 11:06:36+01","2021-03-18 11:06:38+01","00:00:02"
"Active","2021-03-18 11:06:38+01","2021-03-18 11:06:39+01","00:00:01"
"Intermediate","2021-03-18 11:06:39+01","2021-03-18 11:06:41+01","00:00:02"
"Active","2021-03-18 11:06:41+01","2021-03-18 11:06:45+01","00:00:04"
"Intermediate","2021-03-18 11:06:45+01","2021-03-18 11:06:46+01","00:00:01"
"Active","2021-03-18 11:06:46+01","2021-03-18 11:06:48+01","00:00:02"
"Intermediate","2021-03-18 11:06:48+01","2021-03-18 11:06:52+01","00:00:04"
"Active","2021-03-18 11:06:52+01","2021-03-18 11:06:53+01","00:00:01"
"Intermediate","2021-03-18 11:06:53+01","2021-03-18 11:06:59+01","00:00:06"
"Active","2021-03-18 11:06:59+01","2021-03-18 11:07:01+01","00:00:02"
"Intermediate","2021-03-18 11:07:01+01","2021-03-18 11:07:07+01","00:00:06"
"Active","2021-03-18 11:07:07+01","2021-03-18 11:07:09+01","00:00:02"
"Intermediate","2021-03-18 11:07:09+01","2021-03-18 11:07:10+01","00:00:01"
"Active","2021-03-18 11:07:10+01","2021-03-18 11:07:11+01","00:00:01"
"Intermediate","2021-03-18 11:07:11+01","2021-03-18 11:07:12+01","00:00:01"
"Active","2021-03-18 11:07:12+01","2021-03-18 11:07:14+01","00:00:02"
"Intermediate","2021-03-18 11:07:14+01","2021-03-18 11:07:18+01","00:00:04"
"Active","2021-03-18 11:07:18+01","2021-03-18 11:07:20+01","00:00:02"
"Intermediate","2021-03-18 11:07:20+01","2021-03-18 11:07:21+01","00:00:01"
"Active","2021-03-18 11:07:21+01","2021-03-18 11:07:22+01","00:00:01"
"Intermediate","2021-03-18 11:07:22+01","2021-03-18 11:07:23+01","00:00:01"
"Active","2021-03-18 11:07:23+01","2021-03-18 11:07:25+01","00:00:02"
"Intermediate","2021-03-18 11:07:25+01","2021-03-18 11:07:27+01","00:00:02"
"Active","2021-03-18 11:07:27+01","2021-03-18 11:07:29+01","00:00:02"
"Intermediate","2021-03-18 11:07:29+01","2021-03-18 11:07:32+01","00:00:03"
"Active","2021-03-18 11:07:32+01","2021-03-18 11:07:34+01","00:00:02"
"Intermediate","2021-03-18 11:07:34+01","2021-03-18 11:07:37+01","00:00:03"
"Active","2021-03-18 11:07:37+01","2021-03-18 11:07:40+01","00:00:03"
"Intermediate","2021-03-18 11:07:40+01","2021-03-18 11:07:42+01","00:00:02"
"Active","2021-03-18 11:07:42+01","2021-03-18 11:07:47+01","00:00:05"
"Intermediate","2021-03-18 11:07:47+01","2021-03-18 11:07:48+01","00:00:01"
"Active","2021-03-18 11:07:48+01","2021-03-18 11:07:50+01","00:00:02"
"Intermediate","2021-03-18 11:07:50+01","2021-03-18 11:07:52+01","00:00:02"
"Active","2021-03-18 11:07:52+01","2021-03-18 11:07:54+01","00:00:02"
"Intermediate","2021-03-18 11:07:54+01","2021-03-18 11:07:55+01","00:00:01"
"Active","2021-03-18 11:07:55+01","2021-03-18 11:07:56+01","00:00:01"
"Intermediate","2021-03-18 11:07:56+01","2021-03-18 11:07:58+01","00:00:02"
"Active","2021-03-18 11:07:58+01","2021-03-18 11:07:59+01","00:00:01"
"Intermediate","2021-03-18 11:07:59+01","2021-03-18 11:08:01+01","00:00:02"
"Active","2021-03-18 11:08:01+01","2021-03-18 11:08:02+01","00:00:01"
"Intermediate","2021-03-18 11:08:02+01","2021-03-18 11:08:03+01","00:00:01"
"Active","2021-03-18 11:08:03+01","2021-03-18 11:08:05+01","00:00:02"
"Intermediate","2021-03-18 11:08:05+01","2021-03-18 11:08:07+01","00:00:02"
"Active","2021-03-18 11:08:07+01","2021-03-18 11:08:09+01","00:00:02"
"Intermediate","2021-03-18 11:08:09+01","2021-03-18 11:08:10+01","00:00:01"
"Active","2021-03-18 11:08:10+01","2021-03-18 11:08:12+01","00:00:02"
"Intermediate","2021-03-18 11:08:12+01","2021-03-18 11:08:18+01","00:00:06"
"Active","2021-03-18 11:08:18+01","2021-03-18 11:08:21+01","00:00:03"
"Intermediate","2021-03-18 11:08:21+01","2021-03-18 11:08:23+01","00:00:02"
"Active","2021-03-18 11:08:23+01","2021-03-18 11:08:26+01","00:00:03"
"Intermediate","2021-03-18 11:08:26+01","2021-03-18 11:08:29+01","00:00:03"
"Active","2021-03-18 11:08:29+01","2021-03-18 11:08:38+01","00:00:09"
"Intermediate","2021-03-18 11:08:38+01","2021-03-18 11:08:39+01","00:00:01"
"Active","2021-03-18 11:08:39+01","2021-03-18 11:08:42+01","00:00:03"
"Intermediate","2021-03-18 11:08:42+01","2021-03-18 11:08:43+01","00:00:01"
"Active","2021-03-18 11:08:43+01","2021-03-18 11:08:44+01","00:00:01"
"Intermediate","2021-03-18 11:08:44+01","2021-03-18 11:08:48+01","00:00:04"
"Active","2021-03-18 11:08:48+01","2021-03-18 11:08:49+01","00:00:01"
"Intermediate","2021-03-18 11:08:49+01","2021-03-18 11:08:50+01","00:00:01"
"Active","2021-03-18 11:08:50+01","2021-03-18 11:08:51+01","00:00:01"
"Intermediate","2021-03-18 11:08:51+01","2021-03-18 11:08:53+01","00:00:02"
"Active","2021-03-18 11:08:53+01","2021-03-18 11:08:55+01","00:00:02"
"Intermediate","2021-03-18 11:08:55+01","2021-03-18 11:08:58+01","00:00:03"
"Active","2021-03-18 11:08:58+01","2021-03-18 11:09:00+01","00:00:02"
"Intermediate","2021-03-18 11:09:00+01","2021-03-18 11:09:01+01","00:00:01"
"Active","2021-03-18 11:09:01+01","2021-03-18 11:09:02+01","00:00:01"
"Intermediate","2021-03-18 11:09:02+01","2021-03-18 11:09:05+01","00:00:03"
"Active","2021-03-18 11:09:05+01","2021-03-18 11:09:08+01","00:00:03"
"Intermediate","2021-03-18 11:09:08+01","2021-03-18 11:09:12+01","00:00:04"
"Active","2021-03-18 11:09:12+01","2021-03-18 11:09:16+01","00:00:04"
"Intermediate","2021-03-18 11:09:16+01","2021-03-18 11:09:17+01","00:00:01"
"Active","2021-03-18 11:09:17+01","2021-03-18 11:09:19+01","00:00:02"
"Intermediate","2021-03-18 11:09:19+01","2021-03-18 11:09:20+01","00:00:01"
"Active","2021-03-18 11:09:20+01","2021-03-18 11:09:25+01","00:00:05"
"Intermediate","2021-03-18 11:09:25+01","2021-03-18 11:09:27+01","00:00:02"
"Active","2021-03-18 11:09:27+01","2021-03-18 11:09:30+01","00:00:03"
"Intermediate","2021-03-18 11:09:30+01","2021-03-18 11:09:32+01","00:00:02"
"Active","2021-03-18 11:09:32+01","2021-03-18 11:09:33+01","00:00:01"
"Intermediate","2021-03-18 11:09:33+01","2021-03-18 11:09:34+01","00:00:01"
"Active","2021-03-18 11:09:34+01","2021-03-18 11:09:35+01","00:00:01"
"Intermediate","2021-03-18 11:09:35+01","2021-03-18 11:09:36+01","00:00:01"
"Active","2021-03-18 11:09:36+01","2021-03-18 11:09:37+01","00:00:01"
"Intermediate","2021-03-18 11:09:37+01","2021-03-18 11:09:40+01","00:00:03"
"Active","2021-03-18 11:09:40+01","2021-03-18 11:09:43+01","00:00:03"
"Intermediate","2021-03-18 11:09:43+01","2021-03-18 11:09:44+01","00:00:01"
"Active","2021-03-18 11:09:44+01","2021-03-18 11:09:46+01","00:00:02"
"Intermediate","2021-03-18 11:09:46+01","2021-03-18 11:09:49+01","00:00:03"
"Active","2021-03-18 11:09:49+01","2021-03-18 11:09:51+01","00:00:02"
"Intermediate","2021-03-18 11:09:51+01","2021-03-18 11:09:52+01","00:00:01"
"Active","2021-03-18 11:09:52+01","2021-03-18 11:09:53+01","00:00:01"
"Intermediate","2021-03-18 11:09:53+01","2021-03-18 11:09:54+01","00:00:01"
"Active","2021-03-18 11:09:54+01","2021-03-18 11:09:56+01","00:00:02"
"Intermediate","2021-03-18 11:09:56+01","2021-03-18 11:09:58+01","00:00:02"
"Active","2021-03-18 11:09:58+01","2021-03-18 11:09:59+01","00:00:01"
"Intermediate","2021-03-18 11:09:59+01","2021-03-18 11:10:01+01","00:00:02"
"Active","2021-03-18 11:10:01+01","2021-03-18 11:10:02+01","00:00:01"
"Intermediate","2021-03-18 11:10:02+01","2021-03-18 11:10:04+01","00:00:02"
"Active","2021-03-18 11:10:04+01","2021-03-18 11:10:07+01","00:00:03"
"Intermediate","2021-03-18 11:10:07+01","2021-03-18 11:10:09+01","00:00:02"
"Active","2021-03-18 11:10:09+01","2021-03-18 11:10:11+01","00:00:02"
"Intermediate","2021-03-18 11:10:11+01","2021-03-18 11:10:12+01","00:00:01"
